Class,Position,Plate,First,Last,Team,Stage 1,Stage 2,Stage 3,Total Time,Custom
Beginner Men,1,0,Carson,BROCKWELL,,03:15.5,06:22.1,04:05.2,13:42.7,
Beginner Men,2,0,Blake,LEY,,03:24.3,06:36.9,04:23.0,14:24.2,
Beginner Men,3,0,BK,STANCIL,,03:33.8,06:45.6,04:29.4,14:48.8,
Beginner Men,4,0,Bobby,PAYNE,,03:34.7,06:54.6,04:32.1,15:01.3,
Beginner Men,5,0,Blake,TINGEN,,03:49.9,06:46.3,04:33.0,15:09.1,
Beginner Men,6,0,Christian,RUNYON,,03:38.2,06:59.0,04:32.7,15:09.8,
Beginner Men,7,0,Jason,KENDALL,,03:39.1,07:10.8,04:43.2,15:33.1,
Beginner Men,8,0,Phillip,MITCHELL,,03:43.9,07:10.3,04:41.5,15:35.7,
Beginner Men,9,0,David,IRBY,,03:43.1,07:18.8,04:56.6,15:58.5,
Beginner Men,10,0,Tanner,RATCLIFFE,,03:47.6,07:31.8,04:49.6,16:09.0,
Beginner Men,11,0,Lory,SHIFFLETT,,03:59.7,07:23.5,04:57.3,16:20.5,
Beginner Men,12,0,Bryan,STANCIL,,03:44.3,07:08.3,05:47.4,16:40.0,
Beginner Men,13,0,Michael,FERRELL,,03:33.4,11:32.7,05:03.3,20:09.4,
M Masters 50+,1,0,Steve,HETHERINGTON,,03:29.3,06:59.6,04:50.4,15:19.3,
U14 Junior,1,0,Anahad,SHARMA,,04:50.1,09:13.3,06:00.0,20:03.4,
W 40+,1,0,Kelly,HAZLEGROVE,,03:52.0,07:49.6,04:59.1,16:40.6,
W 40+,2,0,Karen,CHILDERS,,03:56.2,07:54.7,05:24.1,17:15.1,
W 40+,3,0,Michelle,OLIVER,,04:31.1,09:28.5,06:21.1,20:20.6,
W 40+,4,0,Tania,PIERCE,,06:18.7,10:40.6,07:59.5,24:58.8,
